building_id,uid_a,uid_b,shared_boundary_m,angle_deg,vertical_separation_m,merged_same_plane,same_building_part
DEBW522AA0000c243,S0001,S0002,1.1420157613770754,0.0,0.999999999999801,False,True
DEBW522AA0000c243,S0001,S0003,3.39786451555307,0.0,0.999999999999801,False,True
DEBW522AA0000c243,S0001,S0006,4.443607625546701,0.0,23.800000000000182,False,False
DEBW522AA0000c243,S0001,S0007,32.70173084104125,0.0,19.54000000000019,False,False
DEBW522AA0000c243,S0002,S0003,1.4712239802220608,0.0,0.0,True,True
DEBW522AA0000c243,S0004,S0005,12.504444711867155,0.0,17.819999999999993,False,True
DEBW522AA0000c243,S0004,S0007,39.76929594543244,0.0,6.520000000000039,False,True
DEBW522AA0000c243,S0005,S0007,7.5716081190609,0.0,24.340000000000032,False,True
DEBW522AA0000c243,S0006,S0007,10.999362464344545,0.0,4.259999999999991,False,True
DEBW522AA0002496d,S0008,S0009,24.365549682200776,8.10154327249939,18.765685292992288,False,False
DEBW522AA0002496d,S0009,S0010,33.985204133388706,16.50307962308153,0.001039990535502966,False,True
DEBW522AA00040850,S0011,S0012,25.689579140472965,0.0,0.5000000000000568,False,True
DEBW522AA00040850,S0011,S0013,0.564362172032178,0.0,0.0,True,True
DEBW522AA00040850,S0011,S0017,15.239441089214296,0.0,20.38999999999993,False,False
DEBW522AA00040850,S0012,S0013,0.33615472630332793,0.0,0.5000000000000568,False,True
DEBW522AA00040850,S0013,S0014,0.2915475949339296,0.0,0.7499999999999716,False,False
DEBW522AA00040850,S0014,S0015,36.60171544530638,0.0,0.20000000000010232,False,True
DEBW522AA00040850,S0014,S0017,0.6997142286520126,0.0,21.1399999999999,False,False
DEBW522AA00040850,S0015,S0017,14.169333081712413,0.0,21.340000000000003,False,False
DEBW522AA00040850,S0016,S0017,93.58916703755709,0.0,1.0,False,True
DEBW522AA00040850,S0016,S0018,43.456259618490435,0.0,1.0,False,True
DEBW522AA00040850,S0017,S0018,1.132693390710114,0.0,0.0,True,True
DEBW522AA00034018,S0019,S0021,10.20270390358978,0.0,18.72,False,False
DEBW522AA00034018,S0020,S0021,5.323504485010535,0.0,18.620000000000005,False,False
DEBW522AA0002574d,S0022,S0023,0.13124057273862197,83.1002748688479,5.643960423885886,False,True
DEBW522AA0002574d,S0022,S0025,0.2469817806140698,69.2325031326332,6.506884755980195,False,True
DEBW522AA0002574d,S0022,S0026,0.6688797554886388,19.25064747224864,8.704035122611288,False,True
DEBW522AA0002574d,S0022,S0028,0.6964199657203222,6.447884901764275,8.916102818996364,False,True
DEBW522AA0002574d,S0022,S0029,0.6244477180702224,27.645572436300863,8.341026367142888,False,True
DEBW522AA0002574d,S0022,S0031,0.6688799295149377,13.877060322805367,8.598489179045828,False,True
DEBW522AA0002574d,S0022,S0032,0.39962482405597566,55.32688935607256,7.738520913783589,False,True
DEBW522AA0002574d,S0022,S0034,0.5163614253778175,41.58426395378487,8.001280994466299,False,True
DEBW522AA0002574d,S0022,S0039,0.1307611736175371,83.59049760264516,5.452928859866205,False,True
DEBW522AA0002574d,S0022,S0041,0.5039635617771507,44.931356819111194,8.271277800334445,False,True
DEBW522AA0002574d,S0022,S0043,0.588347405261797,32.233737050368035,8.324189626661678,False,True
DEBW522AA0002574d,S0022,S0045,0.22472205060408926,70.70509866666274,7.169844444392993,False,True
DEBW522AA0002574d,S0022,S0046,0.37735924489330736,57.89749039658855,7.7775989271867445,False,True
DEBW522AA0002574d,S0022,S0048,0.6191168633805608,27.62559277530779,8.41275409566137,False,True
DEBW522AA0002574d,S0022,S0050,0.521627273462896,41.58438065870519,7.891728269460174,False,True
DEBW522AA0002574d,S0022,S0052,0.40450389605221254,55.36251032338563,7.58734120156339,False,True
DEBW522AA0002574d,S0022,S0055,0.6105735010214335,27.751121939894745,8.360057093054422,False,True
DEBW522AA0002574d,S0022,S0056,0.6827202726955917,13.797208617212025,8.640600620489465,False,True
DEBW522AA0002574d,S0022,S0057,0.6913278861247284,0.08235904315729435,8.688070011226984,False,True
DEBW522AA0002574d,S0022,S0058,0.6741819681583447,13.877135576981471,8.583562981425331,False,True
DEBW522AA0002574d,S0022,S0060,0.5162363797337902,41.55562619606035,7.741676980153386,False,True
DEBW522AA0002574d,S0022,S0062,0.6105735010710065,27.718472106572094,8.198767603960647,False,True
DEBW522AA0002574d,S0022,S0063,0.6826419267762447,13.887467101217469,8.52085946473656,False,True
DEBW522AA0002574d,S0022,S0065,0.6964481288087452,0.0,8.688999999999993,False,True
DEBW522AA0002574d,S0022,S0066,0.059999999962747096,83.03000537623859,5.81759242700403,False,True
DEBW522AA0002574d,S0022,S0069,0.13897971777430787,83.11267841969223,6.347367606114858,False,True
DEBW522AA0002574d,S0022,S0070,0.2469817806140698,69.2616990282277,7.1699140783044015,False,True
DEBW522AA0002574d,S0022,S0071,0.39962482405597566,55.36251027260118,7.16679067259264,False,True
DEBW522AA0002574d,S0022,S0073,0.6191926815626875,27.718577219556902,8.251539883401648,False,True
DEBW522AA0002574d,S0022,S0075,0.6741907540896118,13.810765638755033,8.670387734600155,False,True
DEBW522AA0002574d,S0022,S0076,0.6964194139402798,0.0,8.687999999999988,False,True
DEBW522AA0002574d,S0022,S0077,0.6774227219078481,13.87716100033338,8.578174568526975,False,True
DEBW522AA0002574d,S0022,S0079,0.6158741948608906,27.678263721919066,8.402193415631416,False,True
DEBW522AA0002574d,S0022,S0081,0.5162363802208871,41.584528337434925,7.7382913295906235,False,True
DEBW522AA0002574d,S0022,S0082,0.39962482405597566,55.36269261824933,7.1612547096827655,False,True
DEBW522AA0002574d,S0022,S0085,0.24698178066356177,69.26182972595426,6.507516226288885,False,True
DEBW522AA0002574d,S0022,S0086,0.06830951978044085,41.53797475449467,8.148756639660178,False,True
DEBW522AA0002574d,S0022,S0090,0.2469817806140698,69.26175598573074,7.157950839179563,False,True
DEBW522AA0002574d,S0022,S0093,0.13038404775226425,83.07345917325652,5.435257415021084,False,True
DEBW522AA0002574d,S0022,S0095,0.2469817806140698,69.30223926766944,6.51085530797269,False,True
DEBW522AA0002574d,S0022,S0097,0.39962482405597566,55.3270617764608,7.164300893995943,False,True
DEBW522AA0002574d,S0022,S0099,0.5162363802208871,41.52285156377999,8.197162982241451,False,True
DEBW522AA0002574d,S0022,S0101,0.1902775633139811,19.255736333215,8.768269385836419,False,True
DEBW522AA0002574d,S0022,S0103,0.6912063420084023,6.477813052279229,8.873904680738804,False,True
DEBW522AA0002574d,S0022,S0104,0.4939635612776316,45.01327165690743,7.74447720514803,False,True
DEBW522AA0002574d,S0022,S0105,0.5931090863428394,32.15920839648098,8.324624350427001,False,True
DEBW522AA0002574d,S0022,S0107,0.3689304157784854,57.86565163714852,7.593388008435198,False,True
DEBW522AA0002574d,S0022,S0108,138.7166227052973,0.0,5.000000000000057,False,True
DEBW522AA0002574d,S0022,S0112,0.12207876504933118,83.55999347170616,5.721310163281657,False,True
DEBW522AA0002574d,S0022,S0114,0.13038404825226851,83.08585197475936,5.424994078617431,False,True
DEBW522AA0002574d,S0022,S0115,0.3635931794661082,57.82148008245109,7.164568664131366,False,True
DEBW522AA0002574d,S0022,S0116,0.23323807586129394,70.75193682640736,7.167425079936464,False,True
DEBW522AA0002574d,S0022,S0118,0.4939635612776316,45.01322177390998,8.237938072920542,False,True
DEBW522AA0002574d,S0022,S0119,0.6826419263345553,6.477809074599113,8.908466360129836,False,True
DEBW522AA0002574d,S0022,S0120,0.6651335747948491,19.246830519066997,8.830839553207909,False,True
DEBW522AA0002574d,S0022,S0124,3.915673633040248,0.0,11.819999999999993,False,True
DEBW522AA0002574d,S0022,S0127,0.4939635612776316,45.037952933971546,7.7800573034525655,False,True
DEBW522AA0002574d,S0022,S0128,0.5969039764754253,32.17403083852359,8.289549801894935,False,True
DEBW522AA0002574d,S0022,S0131,0.23334034959406885,70.66478323555376,6.803125174796833,False,True
DEBW522AA0002574d,S0022,S0132,0.37735924538690735,57.93381723520707,7.178340324317986,False,True
DEBW522AA0002574d,S0022,S0134,34.38503992920812,0.0,9.82000000000005,False,True
DEBW522AA0002574d,S0022,S0136,0.6603786795381479,19.264794691425024,8.651439546323388,False,True
DEBW522AA0002574d,S0022,S0137,0.7049113419819274,6.453264013719852,8.963163452777877,False,True
DEBW522AA0002574d,S0022,S0144,37.21694329550618,0.0,11.819999999999936,False,True
DEBW522AA0002574d,S0023,S0024,1.5000000001629814,0.08770195640640294,6.33372658285225e-05,True,True
DEBW522AA0002574d,S0023,S0025,1.495660389659692,13.86777173621818,0.013049755256389517,False,True
DEBW522AA0002574d,S0023,S0144,0.13077687256411938,83.1002748688479,5.992010962240272,False,True
DEBW522AA0002574d,S0025,S0032,1.4956603896904372,13.905613776563479,0.002628894300215734,False,True
DEBW522AA0002574d,S0025,S0144,0.2469817806140698,69.2325031326332,5.313115244019741,False,True
DEBW522AA0002574d,S0026,S0027,1.63487002552968,0.015583168064775301,5.149425987838185e-07,True,True
DEBW522AA0002574d,S0026,S0044,1.4956603888996296,12.923346556518336,0.0010194527675082554,False,True
DEBW522AA0002574d,S0026,S0144,0.6688796606259741,19.25064747224864,2.935681845946874,False,True
DEBW522AA0002574d,S0027,S0028,1.4904026305913702,12.816860051151215,0.00020107581764250426,False,True
DEBW522AA0002574d,S0027,S0134,0.6603786790445478,19.26474480487917,0.937294510441518,False,True
DEBW522AA0002574d,S0028,S0134,0.7049113419819274,6.447884901764275,0.856768467956158,False,True
DEBW522AA0002574d,S0028,S0137,1.4956603888688844,12.901148865265041,0.0003416377117559932,False,True
DEBW522AA0002574d,S0028,S0144,0.6964194134454784,6.447884901764275,2.9358820975774336,False,True
DEBW522AA0002574d,S0029,S0030,1.6209873530699583,0.022153267059803257,1.154173475015341e-06,True,True
DEBW522AA0002574d,S0029,S0035,1.4956603888688844,13.892338174890728,0.001218648494500485,False,True
DEBW522AA0002574d,S0029,S0144,0.6243424318409658,27.645572436300863,3.3756893560007484,False,True
DEBW522AA0002574d,S0030,S0031,1.4904026297977728,13.748435167762839,0.001194796965222622,False,True
DEBW522AA0002574d,S0030,S0134,0.3154408685999045,27.62549549056821,1.4043781803904096,False,True
DEBW522AA0002574d,S0031,S0065,1.4956603888996296,13.877060322805367,0.0006859380304149454,False,True
DEBW522AA0002574d,S0031,S0134,0.6774232221967422,13.877060322805367,1.2261822273772225,False,True
DEBW522AA0002574d,S0031,S0144,0.6689695338086463,13.877060322805367,3.2702243869113374,False,True
