building_id,building_name,n_facets,gross_roof_area_3d_m2,facet_density_per_100m2_gross3d,median_facet_area_m2,facet_area_cv,small_facet_area_share,mean_compactness,small_facet_threshold_m2,usable_area_m2,modules,packed_kwp,continuous_kwp,packing_shortfall_pct
DEBW522AA0000006d,08111000_0_032_31820_000,29,3807.8060129083874,0.7615934189318093,24.84350795409991,2.0681092019689604,0.001929405010342069,0.3459785261340292,5.166504,3600.3246126976296,1083,622.7249999999999,801.3878058745863,22.294175749230995
DEBW522AA00001e49,08111000_0_005_15860_000,1,356.2722999953037,0.2806841845445694,356.2722999953037,0.0,0.0,0.7153005910860969,5.166504,332.9224056904964,112,64.39999999999999,74.10441694114063,13.095598537464536
DEBW522AA00003661,08111000_0_003_15860_000,1,330.71685000054794,0.3023734653974671,330.71685000054794,0.0,0.0,0.6704560476802197,5.166504,307.477739953374,102,58.65,68.4407485112525,14.30543751233635
DEBW522AA00007bc6,08111000_0_015_31900_000,4,1228.3140000247952,0.3256496302996835,338.0570750012446,0.6288217481794467,0.0,0.43238743911391325,5.166504,1173.0926962675999,369,212.17499999999998,261.1159501101209,18.742995243868076
DEBW522AA00007f7e,08111000_0_003_32960_000,4,546.312350003577,0.7321818736065202,31.04722500118096,1.4462868946901204,0.0,0.6565356509215652,5.166504,504.8069747311897,169,97.175,112.36379976496063,13.517520586463016
DEBW522AA00008bfa,08111000_0_006_30740_000,15,6507.644599952254,0.23049814367720778,61.1739500012923,1.6584089113679676,0.0,0.3872131758879172,5.166504,6336.836992701303,2105,1210.375,1410.501674170096,14.188332976481266
DEBW522AA0000c243,08111000_0_030_31900_000,6,1396.47380001292,0.42965360323584223,76.75470000029108,1.14391316174563,0.0,0.46927488091256714,5.166504,1319.4901441189995,423,243.225,293.7022144445933,17.186528382173915
DEBW522AA0000cfb4,08111000_A_022_31900_000,4,3016.7186000028205,0.13259440240784343,814.5254250117096,0.7508929209669958,0.0,0.28516273961050637,5.166504,2866.2059224368127,981,564.0749999999999,637.982049525624,11.584502977878163
DEBW522AA0000dc32,08111000_0_010_15860_000,6,887.6516999989066,0.6759407997537087,57.80957500113223,1.2329686616195727,0.0,0.51137884147771,5.166504,848.6795181549343,256,147.2,188.90558216507225,22.077474729480716
DEBW522AA0000e41a,08111000_0_024_31900_000,9,328.82869999694896,2.7369873736944212,13.82509999879034,1.4239970427824349,0.027575603954380426,0.43541410789825896,5.166504,307.3500030672476,73,41.974999999999994,68.4123158575576,38.64408846004157
DEBW522AA0000ea62,08111000_0_010_29280_000,7,4445.318529000316,0.15746903071924956,362.64977900904046,0.9109295054661047,0.0,0.44421144706819315,5.166504,4350.211985686946,1414,813.05,968.3034763042838,16.033555605608118
DEBW522AA00010752,08111000_0_017_31900_000,6,698.3187000004266,0.8592065485281054,65.23190000175865,0.8719530503698628,0.0,0.47869911791126235,5.166504,654.6721336524712,209,120.175,145.72193376804543,17.53128929012846
DEBW522AA00014ad3,08111000_0_008_15860_000,17,1715.3931500228975,0.99102645943136,64.89580000924137,1.2886657884237518,0.000344585729540542,0.4168009443296566,5.166504,1597.0887284797427,486,279.45,355.4922318364031,21.390687341769432
DEBW522AA00015486,08111000_0_007_02930_000,3,2787.134299982142,0.10763743964613481,870.1058000001598,0.2880664567015401,0.0,0.29868724423490906,5.166504,2707.2792791812462,890,511.74999999999994,602.6069409911292,15.07731405179198
DEBW522AA00016048,08111000_0_025_31900_000,9,3390.092000008018,0.26547952090912913,286.2497000104305,0.7500415125311148,0.0,0.4342766361137817,5.166504,3298.6013753869465,997,573.275,734.227938601226,21.921385735859722
DEBW522AA00023026,08111000_0_026_31900_000,1,288.7054999961915,0.3463737268646394,288.7054999961915,0.0,0.0,0.5796959361696377,5.166504,265.52800309382326,86,49.449999999999996,59.103255036267605,16.332865305547163
DEBW522AA000241ff,08111000_0_032_31900_000,5,908.7691499898385,0.5501947331790376,51.44569999853535,1.079434249771339,0.0,0.47391067032077416,5.166504,851.0761374721126,251,144.325,189.4390400342145,23.814542148263897
DEBW522AA0002496d,08111000_0_011_15860_000,3,999.1878950626683,0.3002438294963374,288.8962274607748,0.3859905942436927,0.0,0.5306411346273957,5.166504,955.9788469033067,316,181.7,212.7890879284721,14.610282994832202
DEBW522AA0002574d,08111000_0_002_30740_000,79,5280.3596770896365,1.4961102051961401,1.045428475581775,3.4712645633080017,0.014391586421215014,0.6447394478815504,5.166504,5095.218789542796,1648,947.5999999999999,1134.1327923048575,16.44717387333221
DEBW522AA00027308,08111000_0_004_31900_000,5,6435.72620001121,0.07769131011184552,1211.1409000025321,0.6935521765965152,0.0,0.3725597923090218,5.166504,6260.884751965057,2232,1283.3999999999999,1393.5956431582779,7.907289585703914
DEBW522AA00027856,08111000_0_007_15860_000,1,468.23349999858215,0.213568657518744,468.23349999858215,0.0,0.0,0.6444883557283982,5.166504,440.06720264865834,148,85.1,97.95352583603092,13.122065516607396
DEBW522AA000330e9,08111000_0_004_32960_000,10,2182.2812670424123,0.4582360739206057,225.75523862469058,0.4413110208396508,0.0,0.5680281882278588,5.166504,2119.062644417932,693,398.47499999999997,471.67718075523055,15.51955102810405
DEBW522AA00034018,08111000_0_001_32960_000,3,86.00734999932888,3.488073984401809,25.674149998146834,0.4783593170299929,0.0,0.5756350293226911,5.166504,73.42707674566233,19,10.924999999999999,16.343960685506424,33.15573739914755
DEBW522AA0003e07e,08111000_0_009_15860_000,1,219.69770000244716,0.45517090073717714,219.69770000244716,0.0,0.0,0.7346407045335607,5.166504,201.66939555919274,64,36.8,44.88911745603442,18.020219408316763
DEBW522AA0003e900,08111000_0_023_31900_001,1,570.1791999981559,0.17538345839399863,570.1791999981559,0.0,0.0,0.4426114435089402,5.166504,532.3113984706739,165,94.87499999999999,118.48594489451183,19.92721154862097
DEBW522AA0003f70d,08111000_0_019_31900_000,3,296.0618500039069,1.0133017813542715,76.002400002625,0.7731831886237331,0.0,0.5187447020410197,5.166504,274.5353295201643,86,49.449999999999996,61.108174686052486,19.077929828451225
DEBW522AA00040850,08111000_0_014_32960_000,6,1013.3856000134531,0.5920747245589781,37.47967500407226,1.5821888784532705,0.0,0.28475725217181047,5.166504,960.3206131603715,316,181.7,213.7555114898638,14.996343844628246
DEBW522AA00042048,08111000_A_009_15860_000,1,515.7208999936278,0.19390333027270293,515.7208999936278,0.0,0.0,0.6395633070402491,5.166504,485.8716885136681,166,95.44999999999999,108.14903884536203,11.742165238768221
DEBW522AA0004292e,08111000_0_015_31820_000,7,1541.838983624934,0.45400330866863153,120.12493411890785,1.0352479856977603,0.0,0.3903333026941139,5.166504,1423.9915123849355,442,254.14999999999998,316.96292875079087,19.817121515865654
