normal_tolerance_deg,vertical_tolerance_m,physical_facets,affected_buildings,aggregate_packing_shortfall_pct,spearman_rho_facet_density,p_raw
0.5,0.05,342,2,14.270982143307197,0.6568548387096774,5.9796013135327456e-05
0.5,0.1,341,1,14.258698289194838,0.6366935483870968,0.00011773240711924225
1.0,0.05,341,1,14.277119189634547,0.6516129032258065,7.165163571701643e-05
1.0,0.1,340,0,14.26483533482279,0.6314516129032258,0.0001393216490365154
1.0,0.2,339,1,14.264038345570928,0.6314516129032258,0.0001393216490365154
2.0,0.1,338,1,14.232082605802754,0.6314516129032258,0.0001393216490365154
2.0,0.2,337,2,14.231285321638376,0.6314516129032258,0.0001393216490365154
