metric,estimate,percentile_2.5,percentile_97.5,n_resamples,seed
aggregate,14.26483533482279,12.66532080234143,16.595696597437207,10000,20260913
median,14.496688602631648,13.156037868725624,17.67505896530144,10000,20260913
rho_facet_density,0.6314516129032258,0.336568576530283,0.8251020995110729,10000,20260913
