building_id,candidate_count,best_iou,centroid_offset,area_ratio,matched_count
DEBW522AA0000006d,0,0.0,,,0
DEBW522AA00001e49,3,0.984247041718069,0.12002877008890919,0.9978098300866495,1
DEBW522AA00003661,3,0.9872362387437918,0.11372431490233023,0.9876334541630072,1
DEBW522AA00007bc6,5,0.9979101685772838,0.010244081635389656,1.0000610848842006,2
DEBW522AA00007f7e,9,0.9994001990812429,0.004814039285963655,1.0001809443440226,4
DEBW522AA00008bfa,4,0.9020640860168885,2.8449205758522718,1.1083545838097535,2
DEBW522AA0000c243,8,0.9982551810254623,0.01383997279553495,0.9988562218258604,2
DEBW522AA0000cfb4,4,0.7639030254307535,2.5310391669923065,0.7817253422221112,1
DEBW522AA0000dc32,3,0.9995896856507648,0.0027596609790952976,0.999946904629809,2
DEBW522AA0000e41a,4,0.9994898653570894,0.0023863169412129464,0.9999677030274126,1
DEBW522AA0000ea62,1,0.9911703288117616,0.30504060364989943,1.0088381916253502,1
DEBW522AA00010752,9,0.9996847036295997,0.002246659234167081,0.999890950876879,2
DEBW522AA00014ad3,9,0.9996934558351126,0.0033956157817818813,0.9999518433729829,2
DEBW522AA00015486,4,0.999828340104218,0.0014890910526427084,0.9999923265912869,2
DEBW522AA00016048,1,0.12067475449617994,26.70330005647029,8.286717237370432,1
DEBW522AA00023026,3,0.9982495315246488,0.01057836129487134,1.000909351147712,1
DEBW522AA000241ff,4,0.9996912335541087,0.0036473389520547874,1.000098172797788,1
DEBW522AA0002496d,8,0.9945985280307802,0.08669519132388556,1.0051647405762487,2
DEBW522AA0002574d,7,0.9993106848636325,0.004239169861036901,0.9999583940767636,1
DEBW522AA00027308,3,0.9995097393796795,0.011418594045026738,1.000320101327985,1
DEBW522AA00027856,3,0.9888811058292779,0.084151609900056,1.0097162881241042,1
DEBW522AA000330e9,4,0.9997370987634491,0.0021853207148105143,0.999968765536689,1
DEBW522AA00034018,5,0.9990884598333778,0.0012297248502830568,0.9994752899179217,3
DEBW522AA0003e07e,4,0.9959080766015447,0.02572662394125945,0.9966823440140757,1
DEBW522AA0003e900,4,0.06017647348212006,20.14941946859873,16.609961391907607,1
DEBW522AA0003f70d,7,0.9990400941010806,0.006008000415424117,1.0006253115518549,3
DEBW522AA00040850,2,0.8864407759685883,0.9287295946830761,0.8865209025415625,1
DEBW522AA00042048,5,0.9957298013352616,0.047288014875484605,1.0038474890570195,1
DEBW522AA0004292e,7,0.999528509766394,0.002212862072652446,1.0002663099530253,2
DEBW522AA00043753,3,0.9012343440066048,0.5119045029424396,0.9028697223052624,1
DEBW522AA00043ffc,3,0.9692335099141655,1.5745086757857272,1.0233991486361598,3
