building_id,surface_uid,physical_facet_uid,component_size
DEBW522AA0002574d,S0095,DEBW522AA0002574d_PF045,2
DEBW522AA0002574d,S0096,DEBW522AA0002574d_PF045,2
DEBW522AA0002574d,S0097,DEBW522AA0002574d_PF046,2
DEBW522AA0002574d,S0098,DEBW522AA0002574d_PF046,2
DEBW522AA0002574d,S0099,DEBW522AA0002574d_PF047,2
DEBW522AA0002574d,S0100,DEBW522AA0002574d_PF047,2
DEBW522AA0002574d,S0101,DEBW522AA0002574d_PF048,2
DEBW522AA0002574d,S0102,DEBW522AA0002574d_PF048,2
DEBW522AA0002574d,S0103,DEBW522AA0002574d_PF049,1
DEBW522AA0002574d,S0104,DEBW522AA0002574d_PF050,1
DEBW522AA0002574d,S0105,DEBW522AA0002574d_PF051,1
DEBW522AA0002574d,S0106,DEBW522AA0002574d_PF052,1
DEBW522AA0002574d,S0107,DEBW522AA0002574d_PF053,1
DEBW522AA0002574d,S0108,DEBW522AA0002574d_PF054,1
DEBW522AA0002574d,S0110,DEBW522AA0002574d_PF055,2
DEBW522AA0002574d,S0111,DEBW522AA0002574d_PF055,2
DEBW522AA0002574d,S0112,DEBW522AA0002574d_PF056,1
DEBW522AA0002574d,S0113,DEBW522AA0002574d_PF057,2
DEBW522AA0002574d,S0114,DEBW522AA0002574d_PF057,2
DEBW522AA0002574d,S0115,DEBW522AA0002574d_PF058,1
DEBW522AA0002574d,S0116,DEBW522AA0002574d_PF059,1
DEBW522AA0002574d,S0117,DEBW522AA0002574d_PF060,1
DEBW522AA0002574d,S0118,DEBW522AA0002574d_PF061,1
DEBW522AA0002574d,S0119,DEBW522AA0002574d_PF062,1
DEBW522AA0002574d,S0120,DEBW522AA0002574d_PF063,2
DEBW522AA0002574d,S0121,DEBW522AA0002574d_PF063,2
DEBW522AA0002574d,S0122,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0123,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0138,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0139,DEBW522AA0002574d_PF064,4
DEBW522AA0002574d,S0124,DEBW522AA0002574d_PF065,2
DEBW522AA0002574d,S0144,DEBW522AA0002574d_PF065,2
DEBW522AA0002574d,S0125,DEBW522AA0002574d_PF066,1
DEBW522AA0002574d,S0126,DEBW522AA0002574d_PF067,1
DEBW522AA0002574d,S0127,DEBW522AA0002574d_PF068,1
DEBW522AA0002574d,S0128,DEBW522AA0002574d_PF069,2
DEBW522AA0002574d,S0129,DEBW522AA0002574d_PF069,2
DEBW522AA0002574d,S0130,DEBW522AA0002574d_PF070,2
DEBW522AA0002574d,S0131,DEBW522AA0002574d_PF070,2
DEBW522AA0002574d,S0132,DEBW522AA0002574d_PF071,2
DEBW522AA0002574d,S0133,DEBW522AA0002574d_PF071,2
DEBW522AA0002574d,S0134,DEBW522AA0002574d_PF072,1
DEBW522AA0002574d,S0135,DEBW522AA0002574d_PF073,1
DEBW522AA0002574d,S0136,DEBW522AA0002574d_PF074,1
DEBW522AA0002574d,S0137,DEBW522AA0002574d_PF075,1
DEBW522AA0002574d,S0141,DEBW522AA0002574d_PF076,1
DEBW522AA0002574d,S0142,DEBW522AA0002574d_PF077,1
DEBW522AA0002574d,S0143,DEBW522AA0002574d_PF078,1
DEBW522AA0002574d,S0145,DEBW522AA0002574d_PF079,4
DEBW522AA0002574d,S0146,DEBW522AA0002574d_PF079,4
DEBW522AA0002574d,S0147,DEBW522AA0002574d_PF079,4
DEBW522AA0002574d,S0148,DEBW522AA0002574d_PF079,4
DEBW522AA0000e41a,S0153,DEBW522AA0000e41a_PF001,1
DEBW522AA0000e41a,S0154,DEBW522AA0000e41a_PF002,1
DEBW522AA0000e41a,S0155,DEBW522AA0000e41a_PF003,1
DEBW522AA0000e41a,S0156,DEBW522AA0000e41a_PF004,2
DEBW522AA0000e41a,S0157,DEBW522AA0000e41a_PF004,2
DEBW522AA0000e41a,S0158,DEBW522AA0000e41a_PF005,1
DEBW522AA0000e41a,S0159,DEBW522AA0000e41a_PF006,1
DEBW522AA0000e41a,S0160,DEBW522AA0000e41a_PF007,1
DEBW522AA0000e41a,S0161,DEBW522AA0000e41a_PF008,1
DEBW522AA0000e41a,S0162,DEBW522AA0000e41a_PF009,1
DEBW522AA0003f70d,S0163,DEBW522AA0003f70d_PF001,1
DEBW522AA0003f70d,S0164,DEBW522AA0003f70d_PF002,1
DEBW522AA0003f70d,S0165,DEBW522AA0003f70d_PF003,1
DEBW522AA00007bc6,S0166,DEBW522AA00007bc6_PF001,1
DEBW522AA00007bc6,S0167,DEBW522AA00007bc6_PF002,1
DEBW522AA00007bc6,S0168,DEBW522AA00007bc6_PF003,1
DEBW522AA00007bc6,S0169,DEBW522AA00007bc6_PF004,1
DEBW522AA0003e900,S0170,DEBW522AA0003e900_PF001,2
DEBW522AA0003e900,S0171,DEBW522AA0003e900_PF001,2
DEBW522AA00027856,S0172,DEBW522AA00027856_PF001,1
DEBW522AA00043ffc,S0173,DEBW522AA00043ffc_PF001,1
DEBW522AA00043ffc,S0174,DEBW522AA00043ffc_PF002,1
DEBW522AA00043ffc,S0175,DEBW522AA00043ffc_PF003,1
DEBW522AA00043ffc,S0176,DEBW522AA00043ffc_PF004,1
DEBW522AA00043ffc,S0177,DEBW522AA00043ffc_PF005,1
DEBW522AA00043ffc,S0178,DEBW522AA00043ffc_PF006,1
