building_id,building_name,n_facets,gross_roof_area_3d_m2,facet_density_per_100m2_gross3d,median_facet_area_m2,facet_area_cv,small_facet_area_share,mean_compactness,small_facet_threshold_m2,usable_area_m2,modules,packed_kwp,continuous_kwp,packing_shortfall_pct
DEBW522AA0000006d,08111000_0_032_31820_000,29,3807.8060129083874,0.7615934189318093,24.84350795409991,2.0681092019689604,0.001929405010342069,0.3459785261340292,3.9054959999999994,3473.0771103256657,1420,624.8,782.5658654077706,20.160075002193434
DEBW522AA00001e49,08111000_0_005_15860_000,1,356.2722999953037,0.2806841845445694,356.2722999953037,0.0,0.0,0.7153005910860969,3.9054959999999994,317.78001056934926,142,62.48,71.60330193681607,12.74145422073778
DEBW522AA00003661,08111000_0_003_15860_000,1,330.71685000054794,0.3023734653974671,330.71685000054794,0.0,0.0,0.6704560476802197,3.9054959999999994,292.40756243536913,130,57.2,65.88629330131816,13.183763824128159
DEBW522AA00007bc6,08111000_0_015_31900_000,4,1228.3140000247952,0.3256496302996835,338.0570750012446,0.6288217481794467,0.0,0.43238743911391325,3.9054959999999994,1136.684914162133,489,215.16,256.121815119687,15.993098869983157
DEBW522AA00007f7e,08111000_0_003_32960_000,4,546.312350003577,0.7321818736065202,31.04722500118096,1.4462868946901204,0.0,0.6565356509215652,3.9054959999999994,478.3378119411697,220,96.8,107.78074654492781,10.188040904272777
DEBW522AA00008bfa,08111000_0_006_30740_000,15,6507.644599952254,0.23049814367720778,61.1739500012923,1.6584089113679676,0.0,0.3872131758879172,3.9054959999999994,6218.763424299968,2765,1216.6,1401.2334959206137,13.176497454430969
DEBW522AA0000c243,08111000_0_030_31900_000,6,1396.47380001292,0.42965360323584223,76.75470000029108,1.14391316174563,0.0,0.46927488091256714,3.9054959999999994,1269.0440361153164,541,238.04,285.945434787663,16.753348352365393
DEBW522AA0000cfb4,08111000_A_022_31900_000,4,3016.7186000028205,0.13259440240784343,814.5254250117096,0.7508929209669958,0.0,0.28516273961050637,3.9054959999999994,2765.9816129069777,1263,555.72,623.2406381566236,10.833799021246637
DEBW522AA0000dc32,08111000_0_010_15860_000,6,887.6516999989066,0.6759407997537087,57.80957500113223,1.2329686616195727,0.0,0.51137884147771,3.9054959999999994,822.3553336867669,330,145.2,185.295976143454,21.63888119859234
DEBW522AA0000e41a,08111000_0_024_31900_000,9,328.82869999694896,2.7369873736944212,13.82509999879034,1.4239970427824349,0.0,0.43541410789825896,3.9054959999999994,293.43087546136525,97,42.68,66.1168697666062,35.44763968611762
DEBW522AA0000ea62,08111000_0_010_29280_000,7,4445.318529000316,0.15746903071924956,362.64977900904046,0.9109295054661047,0.0,0.44421144706819315,3.9054959999999994,4287.286579920163,1857,817.08,966.0263870017391,15.418459475421232
DEBW522AA00010752,08111000_0_017_31900_000,6,698.3187000004266,0.8592065485281054,65.23190000175865,0.8719530503698628,0.0,0.47869911791126235,3.9054959999999994,625.1866401080142,258,113.52,140.86923742721862,19.414627300264087
DEBW522AA00014ad3,08111000_0_008_15860_000,17,1715.3931500228975,0.99102645943136,64.89580000924137,1.2886657884237518,0.000344585729540542,0.4168009443296566,3.9054959999999994,1520.1039661738835,637,280.28000000000003,342.515135141098,18.17003943941351
DEBW522AA00015486,08111000_0_007_02930_000,3,2787.134299982142,0.10763743964613481,870.1058000001598,0.2880664567015401,0.0,0.29868724423490906,3.9054959999999994,2654.4588658379635,1188,522.72,598.1119432557115,12.604988766037572
DEBW522AA00016048,08111000_0_025_31900_000,9,3390.092000008018,0.26547952090912913,286.2497000104305,0.7500415125311148,0.0,0.4342766361137817,3.9054959999999994,3236.9049543376655,1334,586.96,729.3507303085565,19.522943405886107
DEBW522AA00023026,08111000_0_026_31900_000,1,288.7054999961915,0.3463737268646394,288.7054999961915,0.0,0.0,0.5796959361696377,3.9054959999999994,250.553820896528,112,49.28,56.455662069285104,12.710261125764122
DEBW522AA000241ff,08111000_0_032_31900_000,5,908.7691499898385,0.5501947331790376,51.44569999853535,1.079434249771339,0.0,0.47391067032077416,3.9054959999999994,813.234983570823,329,144.76,183.24094699938865,21.000189984565544
DEBW522AA0002496d,08111000_0_011_15860_000,3,999.1878950626683,0.3002438294963374,288.8962274607748,0.3859905942436927,0.0,0.5306411346273957,3.9054959999999994,927.608732997579,409,179.96,209.01203970964752,13.89969675909849
DEBW522AA0002574d,08111000_0_002_30740_000,79,5280.3596770896365,1.4961102051961401,1.045428475581775,3.4712645633080017,0.014391586421215014,0.6447394478815504,3.9054959999999994,4967.544608282422,2118,931.92,1119.3045019860556,16.74115503453859
DEBW522AA00027308,08111000_0_004_31900_000,5,6435.72620001121,0.07769131011184552,1211.1409000025321,0.6935521765965152,0.0,0.3725597923090218,3.9054959999999994,6145.3984625090525,2886,1269.84,1384.7026464776732,8.295112800560778
DEBW522AA00027856,08111000_0_007_15860_000,1,468.23349999858215,0.213568657518744,468.23349999858215,0.0,0.0,0.6444883557283982,3.9054959999999994,421.78189369608845,195,85.8,95.03736950506615,9.719723465803353
DEBW522AA000330e9,08111000_0_004_32960_000,10,2182.2812670424123,0.4582360739206057,225.75523862469058,0.4413110208396508,0.0,0.5680281882278588,3.9054959999999994,2077.3552827834483,944,415.36,468.0769481903028,11.262453405176032
DEBW522AA00034018,08111000_0_001_32960_000,3,86.00734999932888,3.488073984401809,25.674149998146834,0.4783593170299929,0.0,0.5756350293226911,3.9054959999999994,65.43997793185284,20,8.8,14.745164399100782,40.31941752689675
DEBW522AA0003e07e,08111000_0_009_15860_000,1,219.69770000244716,0.45517090073717714,219.69770000244716,0.0,0.0,0.7346407045335607,3.9054959999999994,190.053337680787,82,36.08,42.82348187249266,15.747159216458495
DEBW522AA0003e900,08111000_0_023_31900_001,1,570.1791999981559,0.17538345839399863,570.1791999981559,0.0,0.0,0.4426114435089402,3.9054959999999994,507.40181658105064,219,96.36,114.32954958635847,15.717327367571954
DEBW522AA0003f70d,08111000_0_019_31900_000,3,296.0618500039069,1.0133017813542715,76.002400002625,0.7731831886237331,0.0,0.5187447020410197,3.9054959999999994,260.582747145729,109,47.96,58.715414761208706,18.317872410422698
DEBW522AA00040850,08111000_0_014_32960_000,6,1013.3856000134531,0.5920747245589781,37.47967500407226,1.5821888784532705,0.0,0.28475725217181047,3.9054959999999994,927.7822831790814,418,183.92,209.05114464272702,12.021529317945955
DEBW522AA00042048,08111000_A_009_15860_000,1,515.7208999936278,0.19390333027270293,515.7208999936278,0.0,0.0,0.6395633070402491,3.9054959999999994,466.361787058215,208,91.52,105.08226678793916,12.90633253592487
DEBW522AA0004292e,08111000_0_015_31820_000,7,1541.838983624934,0.45400330866863153,120.12493411890785,1.0352479856977603,0.0,0.3903333026941139,3.9054959999999994,1346.9802672471164,574,252.56,303.5062986052124,16.785911475096306
DEBW522AA00043753,08111000_0_013_15860_000,19,1330.628265282706,1.4278969187508765,43.582081850413914,1.0099851353179758,0.00542187033436484,0.4885077352667932,3.9054959999999994,1207.8912808844984,467,205.48,272.16628238215037,24.50203669553591
DEBW522AA00043ffc,08111000_0_002_02930_000,74,12374.802623060086,0.5979893357014289,0.8549076393663254,2.429079762852623,0.0013428014860078293,0.503936488552237,3.9054959999999994,12056.16615114289,5416,2383.04,2716.537467457589,12.276564245944666
