building_id,physical_facet_uid,usable_area_m2,gross_area_3d_m2,gross_area_plan_m2,tilt_deg,source_surface_count,modules
DEBW522AA0000006d,DEBW522AA0000006d_PF001,66.25070000124171,66.25070000124171,66.25070000124171,0.0,1,26
DEBW522AA0000006d,DEBW522AA0000006d_PF002,207.90070106809299,208.82334999974344,208.82334999974344,0.0,2,88
DEBW522AA0000006d,DEBW522AA0000006d_PF003,1294.1575534842175,1345.309699993209,1345.309699993209,0.0,1,573
DEBW522AA0000006d,DEBW522AA0000006d_PF004,2.6096300310034892,23.640600965437326,3.3538999967220207,81.8439110004074,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF005,1.4123020495464278,2.4764000000873,2.4764000000873,0.0,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF006,669.9529511858419,731.5537000082261,731.5537000082256,0.0,3,256
DEBW522AA0000006d,DEBW522AA0000006d_PF007,302.93452872570094,305.6194500069749,305.6194500069749,0.0,1,134
DEBW522AA0000006d,DEBW522AA0000006d_PF008,1.5597766449314492,2.663700000064809,2.6637000000648086,0.0,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF009,1.2024071182689453,2.2066999995639898,2.2066999995639898,0.0,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF010,183.24331349683027,187.96474999286298,187.96474999286298,0.0,1,81
DEBW522AA0000006d,DEBW522AA0000006d_PF011,47.63339652054192,49.04054999919077,49.04054999919077,0.0,1,15
DEBW522AA0000006d,DEBW522AA0000006d_PF012,251.31957339039437,252.52429999551006,252.52429999550998,0.0,1,115
DEBW522AA0000006d,DEBW522AA0000006d_PF013,47.67907513189448,48.86895000039997,48.86895000039997,0.0,1,15
DEBW522AA0000006d,DEBW522AA0000006d_PF014,25.059386236826082,28.05775000101328,28.05775000101328,0.0,1,8
DEBW522AA0000006d,DEBW522AA0000006d_PF015,38.33451883274215,44.06029999868943,44.06029999868943,0.0,1,14
DEBW522AA0000006d,DEBW522AA0000006d_PF016,9.378737134496347,11.061399999966518,11.061399999966518,0.0,1,2
DEBW522AA0000006d,DEBW522AA0000006d_PF017,88.33800588975824,90.78935000061698,90.78935000061696,0.0,1,40
DEBW522AA0000006d,DEBW522AA0000006d_PF018,16.089090320889184,24.84350795409991,3.5369000054057835,81.81515238819595,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF019,10.03522262286537,14.123718614580671,5.8552499955071085,65.50784903641188,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF020,88.50510299707975,98.82125000150351,98.82125000150353,0.0,1,38
DEBW522AA0000006d,DEBW522AA0000006d_PF021,13.978915424547006,13.978915424547006,9.148500006386655,49.12204727904304,2,0
