removed_building_id,rho_facet_density
DEBW522AA0000006d,0.6057842046718577
DEBW522AA00001e49,0.6342602892102336
DEBW522AA00003661,0.6324805339265851
DEBW522AA00007bc6,0.6413793103448275
DEBW522AA00007f7e,0.6382647385984427
DEBW522AA00008bfa,0.6311457174638487
DEBW522AA0000c243,0.6338153503893215
DEBW522AA0000cfb4,0.6022246941045606
DEBW522AA0000dc32,0.6129032258064516
DEBW522AA0000e41a,0.5937708565072302
DEBW522AA0000ea62,0.6614015572858732
DEBW522AA00010752,0.617797552836485
DEBW522AA00014ad3,0.607119021134594
DEBW522AA00015486,0.6315906562847609
DEBW522AA00016048,0.6703003337041158
DEBW522AA00023026,0.6489432703003337
DEBW522AA000241ff,0.6275862068965516
DEBW522AA0002496d,0.6324805339265851
DEBW522AA0002574d,0.657397107897664
DEBW522AA00027308,0.593325917686318
DEBW522AA00027856,0.6262513904338153
DEBW522AA000330e9,0.6622914349276974
DEBW522AA00034018,0.5937708565072302
DEBW522AA0003e07e,0.649833147942158
DEBW522AA0003e900,0.6614015572858732
DEBW522AA0003f70d,0.6146829810901
DEBW522AA00040850,0.6378197997775306
DEBW522AA00042048,0.6262513904338153
DEBW522AA0004292e,0.6369299221357063
DEBW522AA00043753,0.5991101223581757
DEBW522AA00043ffc,0.6765294771968854
