predictor,label,rho,p_raw,p_fdr_bh
n_facets,Raw facet count,0.3588620169246486,0.047418112143669526,0.08298169625142167
facet_density_per_100m2_gross3d,Facet density per 100 m² gross 3D roof area,0.6314516129032258,0.0001393216490365154,0.0009752515432556078
median_facet_area_m2,Median facet area,-0.5358870967741935,0.0018893475431477668,0.006612716401017184
small_facet_area_share,Small-facet area share,0.2190716577245849,0.23638724398222555,0.33094214157511576
facet_area_cv,Facet-area coefficient of variation,0.3986276730652433,0.026334581439791786,0.0614473566928475
mean_compactness,Mean compactness,-0.19153225806451615,0.3019884668012518,0.3523198779347938
gross_roof_area_3d_m2,Gross 3D roof area,-0.14274193548387099,0.44365909743874193,0.44365909743874193
