scenario,n_buildings,usable_area_m2,continuous_kwp,packed_kwp,aggregate_shortfall_pct,median_building_shortfall_pct
base,31,63587.46597957246,14327.749935481632,12283.919999999998,14.26483533482279,14.496688602631648
setback0,31,65953.64287807551,14860.90517893411,12721.28,14.397677349877103,14.150092864163666
setback05,31,62023.94113186894,13975.451055652,11957.88,14.436536234986464,15.717327367571954
large575,31,63587.46597957246,14153.784817839747,11965.750000000004,15.459008639737805,16.44717387333221
gap0,31,63587.46597957246,14327.749935481632,12464.32,13.005740216521945,12.155677547752209
gap02,31,63587.46597957246,14327.749935481632,12138.28,15.281324320572976,16.866366331136007
gap04,31,63587.46597957246,14327.749935481632,11768.239999999998,17.86400479494127,18.70679774605145
pitched,7,7775.252252643515,1751.9469952923507,1497.32,14.533944004958933,23.327067643041577
flat,31,55812.213726928945,12575.802940189282,10786.6,14.227345551602221,14.392454276860377
