model,term,coefficient_pp,hc3_se,ci_95_low,ci_95_high,p_value,r_squared,adjusted_r_squared,n
A_density_plus_log_area,const,16.296314838979534,0.7009733457978942,14.92243232709312,17.670197350865948,1.486089074030332e-119,0.6408513017917787,0.6151978233483344,31
A_density_plus_log_area,facet_density_z,4.219599439556328,1.3991132862457563,1.477387788223166,6.96181109088949,0.0025620948328776245,0.6408513017917787,0.6151978233483344,31
A_density_plus_log_area,log_area_z,-0.07777224641736669,0.8655629377392732,-1.7742444307390273,1.618699937904294,0.9284051141349069,0.6408513017917787,0.6151978233483344,31
B_count_plus_log_area,const,16.296314838979534,0.9971358998668167,14.341964387548636,18.25066529041043,4.8693469903476096e-60,0.14011604875297912,0.07869576652104904,31
B_count_plus_log_area,facet_count_z,1.2045366890895883,1.361401540907247,-1.463761299585949,3.872834677765126,0.37627694920136656,0.14011604875297912,0.07869576652104904,31
B_count_plus_log_area,log_area_z,-2.4155767484498156,1.450129080230506,-5.257777518635802,0.42662402173617053,0.09575988890605937,0.14011604875297912,0.07869576652104904,31
