building_id,building_name,physical_facet_uid,source_surface_uids,source_surface_count,part_ids,plan_wkt,area_plan,area_3d,tilt_deg
DEBW522AA00040850,08111000_0_014_32960_000,DEBW522AA00040850_PF002,S0012,1,DEBW522AA00040853,"POLYGON ((513133.04 5403263.51, 513125.12 5403271.71, 513125.29 5403272, 513134.72 5403266.34, 513133.04 5403263.51))",19.943250000540978,19.94325000054098,0.0
DEBW522AA00040850,08111000_0_014_32960_000,DEBW522AA00040850_PF003,S0014,1,DEBW522AA00040852,"POLYGON ((513127.58 5403254.1, 513117.98 5403259.92, 513110.65 5403247.82, 513120.24 5403241.98, 513120.06 5403241.68, 513110.17 5403247.7, 513110.21 5403247.77, 513110.26 5403247.74, 513117.91 5403260.37, 513118.16 5403260.22, 513127.76 5403254.4, 513127.58 5403254.1))",12.217050007413706,12.217050007413647,0.0
DEBW522AA00040850,08111000_0_014_32960_000,DEBW522AA00040850_PF004,S0015,1,DEBW522AA00040852,"POLYGON ((513110.65 5403247.82, 513117.98 5403259.92, 513127.58 5403254.1, 513120.24 5403241.98, 513110.65 5403247.82))",158.958499994794,158.958499994794,0.0
DEBW522AA00040850,08111000_0_014_32960_000,DEBW522AA00040850_PF005,S0016,1,DEBW522AA00040851,"POLYGON ((513135.54 5403266.55, 513125.69 5403272.45, 513133.21 5403284.85, 513154.61 5403271.87, 513132.13 5403234.68, 513120.54 5403241.7, 513135.54 5403266.55))",755.4078999996113,755.4078999996113,0.0
DEBW522AA00040850,08111000_0_014_32960_000,DEBW522AA00040850_PF006,S0017|S0018,2,DEBW522AA00040851,"POLYGON ((513132.26 5403234.13, 513119.99 5403241.56, 513120.06 5403241.68, 513127.76 5403254.4, 513133.08 5403263.18, 513134.99 5403266.41, 513125.14 5403272.32, 513132.71 5403284.8, 513132.57 5403284.88, 513132.93 5403285.48, 513155.16 5403272.01, 513132.26 5403234.13), (513154.61 5403271.87, 513133.21 5403284.85, 513125.69 5403272.45, 513135.54 5403266.55, 513120.54 5403241.7, 513132.13 5403234.68, 513154.61 5403271.87))",55.01610000760354,55.01610000760354,0.0
DEBW522AA00034018,08111000_0_001_32960_000,DEBW522AA00034018_PF001,S0019,1,DEBW522AA0003401b,"POLYGON ((513241.62 5403339.73, 513236.63 5403342.73, 513236.75 5403342.92, 513237.59 5403344.23, 513239.65 5403342.92, 513240.9 5403344.87, 513238.78 5403346.22, 513239.55 5403347.36, 513244.41 5403344.35, 513241.62 5403339.73))",25.67414999814683,25.674149998146834,0.0
DEBW522AA00034018,08111000_0_001_32960_000,DEBW522AA00034018_PF002,S0020,1,DEBW522AA0003401a,"POLYGON ((513230.09 5403346.95, 513227.96 5403348.24, 513230.73 5403352.8, 513232.95 5403351.44, 513230.09 5403346.95))",13.571749999054475,13.571749999054475,0.0
DEBW522AA00034018,08111000_0_001_32960_000,DEBW522AA00034018_PF003,S0021,1,DEBW522AA00034019,"POLYGON ((513239.65 5403342.92, 513237.59 5403344.23, 513236.75 5403342.92, 513230.09 5403346.95, 513232.95 5403351.44, 513239.55 5403347.36, 513238.78 5403346.22, 513240.9 5403344.87, 513239.65 5403342.92))",46.76145000212757,46.76145000212757,0.0
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF001,S0022,1,DEBW522AA0002574e,"POLYGON ((513310.95 5403321.41, 513309.08 5403318.41, 513297.49 5403325.57, 513284.36 5403304.35, 513287.35 5403302.51, 513281.68 5403293.35, 513290.86 5403287.82, 513290.95 5403287.76, 513289.42 5403285.25, 513260.83 5403302.83, 513260.88 5403302.92, 513262.39 5403305.41, 513270.64 5403300.2, 513276.29 5403309.34, 513279.41 5403307.41, 513292.4 5403328.73, 513280.77 5403335.92, 513283.42 5403340.2, 513311.74 5403322.68, 513311.37 5403322.1, 513310.95 5403321.41))",552.2497499983839,552.249749998384,0.0
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF002,S0023|S0024,2,DEBW522AA0002574e,"POLYGON ((513304.93 5403325.14, 513304.81 5403325.21, 513305.6 5403326.48, 513305.71 5403326.41, 513304.93 5403325.14))",0.20100000031501986,1.6731584677942113,83.10027487759884
