building_id,physical_facet_uid,usable_area_m2,gross_area_3d_m2,gross_area_plan_m2,tilt_deg,source_surface_count,modules
DEBW522AA0000006d,DEBW522AA0000006d_PF001,66.25070000124171,66.25070000124171,66.25070000124171,0.0,1,26
DEBW522AA0000006d,DEBW522AA0000006d_PF002,208.82334999974347,208.82334999974344,208.82334999974344,0.0,2,90
DEBW522AA0000006d,DEBW522AA0000006d_PF003,1345.3096999932093,1345.309699993209,1345.309699993209,0.0,1,613
DEBW522AA0000006d,DEBW522AA0000006d_PF004,23.49901460941698,23.640600965437326,3.3538999967220207,81.8439110004074,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF005,2.4764000000872994,2.4764000000873,2.4764000000873,0.0,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF006,731.5347318623702,731.5537000082261,731.5537000082256,0.0,3,285
DEBW522AA0000006d,DEBW522AA0000006d_PF007,305.6194500069749,305.6194500069749,305.6194500069749,0.0,1,138
DEBW522AA0000006d,DEBW522AA0000006d_PF008,2.663700000064809,2.663700000064809,2.6637000000648086,0.0,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF009,2.204849999605364,2.2066999995639898,2.2066999995639898,0.0,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF010,187.96474999286298,187.96474999286298,187.96474999286298,0.0,1,84
DEBW522AA0000006d,DEBW522AA0000006d_PF011,49.040549999190766,49.04054999919077,49.04054999919077,0.0,1,18
DEBW522AA0000006d,DEBW522AA0000006d_PF012,252.51463634249333,252.52429999551006,252.52429999550998,0.0,1,115
DEBW522AA0000006d,DEBW522AA0000006d_PF013,48.86895000039997,48.86895000039997,48.86895000039997,0.0,1,18
DEBW522AA0000006d,DEBW522AA0000006d_PF014,28.05775000101329,28.05775000101328,28.05775000101328,0.0,1,10
DEBW522AA0000006d,DEBW522AA0000006d_PF015,44.06029999868944,44.06029999868943,44.06029999868943,0.0,1,18
DEBW522AA0000006d,DEBW522AA0000006d_PF016,11.061399999966516,11.061399999966518,11.061399999966518,0.0,1,2
DEBW522AA0000006d,DEBW522AA0000006d_PF017,90.78935000061696,90.78935000061698,90.78935000061696,0.0,1,40
DEBW522AA0000006d,DEBW522AA0000006d_PF018,24.618013373193246,24.84350795409991,3.5369000054057835,81.81515238819595,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF019,14.123718614580671,14.123718614580671,5.8552499955071085,65.50784903641188,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF020,98.8212500015035,98.82125000150351,98.82125000150353,0.0,1,38
DEBW522AA0000006d,DEBW522AA0000006d_PF021,13.978915424547006,13.978915424547006,9.148500006386655,49.12204727904304,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF022,14.636315888104859,14.636315888104859,6.098999993581884,65.37337761298647,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF023,14.238262058215332,14.238262058215332,13.662199993510427,16.353812408767993,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF024,14.078396580212491,14.078396580212491,11.832500003190944,32.80999066958591,2,0
DEBW522AA0000006d,DEBW522AA0000006d_PF025,14.238260550040865,14.238260550040867,13.662200004083871,16.35379157540783,1,0
DEBW522AA0000006d,DEBW522AA0000006d_PF026,14.027699998727963,14.027699998727961,14.027699998727968,0.0,1,0
